t,x1,y1,z1,x2,y2,z2,dx,dy,dz,cal_x,cal_y,cal_z
1759751868.5904286,3798.32,-2221.3,1192.33,-37.26,62.5,37.75,3835.5800000000004,-2158.8,1230.08,3835.5800000000004,-2158.8,1230.08
1759751868.7709577,3258.62,-2309.04,1731.03,-37.26,62.5,37.99,3295.88,-2246.54,1769.02,3295.88,-2246.54,1769.02
1759751868.7724643,2666.04,-2327.07,1701.99,-37.26,62.5,36.3,2703.3,-2264.57,1738.29,2703.3,-2264.57,1738.29
1759751868.8310564,3051.88,-2269.38,1584.13,-37.26,62.5,36.54,3089.1400000000003,-2206.88,1620.67,3089.1400000000003,-2206.88,1620.67
1759751868.8901896,3204.53,-2239.33,1522.18,-37.26,63.71,37.51,3241.7900000000004,-2175.62,1559.69,3241.7900000000004,-2175.62,1559.69
1759751869.010904,3301.89,-2220.09,1476.93,-36.06,62.5,36.78,3337.95,-2157.59,1513.71,3337.95,-2157.59,1513.71
1759751869.0711288,3374.01,-2203.27,1441.35,-37.26,62.5,36.78,3411.2700000000004,-2140.77,1478.1299999999999,3411.2700000000004,-2140.77,1478.1299999999999
1759751869.190983,3429.31,-2190.04,1406.02,-37.26,62.5,37.75,3466.57,-2127.54,1443.77,-1586.168000000001,-273.16450000000077,1266.5655
1759751869.2512162,3476.18,-2181.63,1382.3,-37.26,63.71,37.27,3513.44,-2117.92,1419.57,-1539.2980000000011,-263.5445000000009,1242.3654999999999
1759751869.3108416,3517.05,-2172.01,1362.46,-36.06,63.71,37.03,3553.11,-2108.3,1399.49,-1499.628000000001,-253.924500000001,1222.2855
1759751869.370982,3549.51,-2163.6,1331.48,-36.06,62.5,37.03,3585.57,-2101.1,1368.51,-1467.168000000001,-246.72450000000072,1191.3055
1759751869.4306395,3580.76,-2157.59,1315.27,-38.46,62.5,39.2,3619.2200000000003,-2095.09,1354.47,-1433.518000000001,-240.71450000000095,1177.2655
1759751869.5497522,3609.61,-2150.38,1294.46,-37.26,63.71,37.27,3646.8700000000003,-2086.67,1331.73,-1405.8680000000008,-232.29450000000088,1154.5255
1759751869.6113946,3632.44,-2143.17,1278.49,-37.26,62.5,35.82,3669.7000000000003,-2080.67,1314.31,-1383.038000000001,-226.29450000000088,1137.1055
1759751869.6710458,3656.48,-2138.36,1259.37,-37.26,62.5,37.03,3693.7400000000002,-2075.86,1296.3999999999999,-1358.998000000001,-221.48450000000093,1119.1954999999998
1759751869.7918053,3676.92,-2134.75,1250.17,-36.06,62.5,38.24,3712.98,-2072.25,1288.41,-1339.7580000000012,-217.8745000000008,1111.2055
1759751869.8506637,3697.35,-2128.74,1236.86,-36.06,63.71,36.54,3733.41,-2065.0299999999997,1273.3999999999999,-1319.3280000000013,-210.65450000000055,1096.1954999999998
1759751869.9707894,3731.01,-2125.14,1208.06,-38.46,62.5,37.51,3769.4700000000003,-2062.64,1245.57,-1283.268000000001,-208.26450000000068,1068.3654999999999
1759751870.091265,3745.43,-2120.33,1194.27,-36.06,62.5,37.51,3781.49,-2057.83,1231.78,-1271.2480000000014,-203.45450000000073,1054.5755
1759751870.151509,3761.06,-2116.72,1182.41,-36.06,62.5,37.99,3797.12,-2054.22,1220.4,-1255.6180000000013,-199.8445000000006,1043.1955
1759751870.210475,3774.28,-2111.91,1173.22,-37.26,62.5,37.99,3811.5400000000004,-2049.41,1211.21,-1241.1980000000008,-195.03450000000066,1034.0055
1759751870.330319,3788.7,-2109.51,1161.36,-36.06,62.5,36.06,3824.7599999999998,-2047.0100000000002,1197.4199999999998,-1227.9780000000014,-192.63450000000103,1020.2154999999998
1759751870.3892643,3803.13,-2105.9,1153.61,-37.26,62.5,37.03,3840.3900000000003,-2043.4,1190.6399999999999,-1212.3480000000009,-189.0245000000009,1013.4354999999998
1759751870.450897,3812.74,-2103.5,1146.35,-37.26,62.5,36.54,3850.0,-2041.0,1182.8899999999999,-1202.7380000000012,-186.6245000000008,1005.6854999999998
1759751870.5095236,3823.56,-2101.1,1133.04,-36.06,62.5,37.51,3859.62,-2038.6,1170.55,-1193.1180000000013,-184.22450000000072,993.3454999999999
1759751870.6293561,3834.38,-2098.69,1128.2,-37.26,63.71,37.27,3871.6400000000003,-2034.98,1165.47,-1181.0980000000009,-180.60450000000083,988.2655
1759751870.6907098,3845.2,-2091.48,1118.04,-36.06,62.5,37.51,3881.2599999999998,-2028.98,1155.55,-1171.4780000000014,-174.60450000000083,978.3454999999999
1759751870.750188,3853.61,-2089.08,1109.33,-37.26,63.71,37.75,3890.8700000000003,-2025.37,1147.08,-1161.8680000000008,-170.9945000000007,969.8754999999999
1759751870.811272,3865.63,-2087.87,1101.1,-37.26,63.71,37.51,3902.8900000000003,-2024.1599999999999,1138.61,-1149.8480000000009,-169.78450000000066,961.4054999999998
1759751870.931021,3872.84,-2083.07,1095.78,-37.26,62.5,37.03,3910.1000000000004,-2020.5700000000002,1132.81,-1142.6380000000008,-166.19450000000097,955.6054999999999
1759751870.9905813,3882.46,-2083.07,1089.73,-37.26,62.5,39.2,3919.7200000000003,-2020.5700000000002,1128.93,-1133.018000000001,-166.19450000000097,951.7255
1759751871.0510187,3889.67,-2079.46,1074.48,-37.26,62.5,38.48,3926.9300000000003,-2016.96,1112.96,-1125.808000000001,-162.58450000000084,935.7555
1759751871.2292767,3896.88,-2079.46,1070.61,-37.26,62.5,36.78,3934.1400000000003,-2016.96,1107.3899999999999,-1118.5980000000009,-162.58450000000084,930.1854999999998
1759751871.2910645,3910.11,-2073.45,1055.12,-37.26,62.5,37.75,3947.3700000000003,-2010.9499999999998,1092.87,-1105.3680000000008,-156.57450000000063,915.6654999999998
1759751871.3493798,3920.92,-2071.05,1053.18,-36.06,62.5,37.51,3956.98,-2008.5500000000002,1090.69,-1095.7580000000012,-154.174500000001,913.4855
1759751871.4709287,3926.93,-2072.25,1043.5,-36.06,62.5,37.75,3962.99,-2009.75,1081.25,-1089.7480000000014,-155.3745000000008,904.0455
1759751871.5310335,3931.74,-2068.64,1042.78,-37.26,61.3,37.27,3969.0,-2007.34,1080.05,-1083.7380000000012,-152.96450000000073,902.8454999999999
1759751871.5916312,3940.16,-2067.44,1035.03,-38.46,62.5,37.03,3978.62,-2004.94,1072.06,-1074.1180000000013,-150.56450000000086,894.8554999999999
1759751871.7110093,3944.96,-2065.04,1027.29,-36.06,62.5,37.51,3981.02,-2002.54,1064.8,-1071.7180000000012,-148.16450000000077,887.5954999999999
1759751871.7706842,3950.97,-2062.63,1023.9,-36.06,62.5,38.72,3987.0299999999997,-2000.13,1062.62,-1065.7080000000014,-145.75450000000092,885.4154999999998
1759751871.8304942,3956.98,-2060.23,1016.4,-37.26,63.71,37.51,3994.2400000000002,-1996.52,1053.91,-1058.498000000001,-142.1445000000008,876.7055
1759751871.8910785,3964.2,-2060.23,1012.04,-36.06,63.71,37.27,4000.2599999999998,-1996.52,1049.31,-1052.4780000000014,-142.1445000000008,872.1054999999999
1759751872.0108209,3966.6,-2055.42,1005.03,-37.26,63.71,37.27,4003.86,-1991.71,1042.3,-1048.878000000001,-137.33450000000084,865.0954999999999
